MainCharacter,TargetCharacter,Description,CallingMainToTarget,CallingTargetToMain
穆,德拉莎,Lý Dã (穆) thu phục rồng băng Delasha làm thuộc hạ.,德拉莎 (Delasha),"主人 (Chủ nhân), 上神 (Thượng thần)"
艾兰·莫洛,霍普,Thân phận vương tử và quân đoàn trưởng phối hợp với thành chủ quản lý thành phố.,"霍普 (Hope), 城主 (Thành chủ)","殿下 (Điện hạ), 艾兰 (Alan)"
李野,艾兰,Lý Dã đã dùng Gương Vấn Tâm để bẻ gãy ý chí và thu phục Elan.,艾兰,尊贵的审判之神 (Thần Phán Quyết tôn quý)
李野,德拉莎,Drasa là con rồng khổng lồ đi theo và phục vụ Lý Dã.,德拉莎,主人 (Chủ nhân)
李野,马库斯,Lý Dã (trong vai Thần Thẩm Phán) đã thu phục Marcus làm thuộc hạ.,马库斯,尊贵的审判之神 (Thần Phán Quyết tôn quý)
李野,赫尔墨斯,Lý Dã đánh bại hóa thân của Hermes trong trò chơi của Thiên Bình Dục Vọng và đoạt lấy thần kỹ không gian.,赫尔墨斯 (Hermes),"穆 (Mu), 审判之神 (Thần Phán Quyết)"
李野,加奥,Lee Ye uses Gao as a puppet Pope to control the Merchant God cult; Gao follows him out of fear and gain.,加奥 (Gao),尊贵的审判之神 (Thần Phán Quyết tôn quý)
李野,宙斯,Zeus tries to read Li Ye's mind and they engage in a high-level dialogue about the world's history.,Thần vương,Ngươi
庞丰,唐杰,Fellow Earthling time-travelers/renegades from the Demon Catching Office managing the Death God cult.,唐杰 (Đường Kiệt),庞丰 (Bàng Phong)
庞丰,李野,Pang Feng recognizes Lee Ye but fears he has been possessed by the Mirror object and maintains distance.,李野 (Lee Ye),审判之神 (Thần Phán Quyết)
宙斯,乌拉诺斯,Uranus is the grandfather of Zeus (the first generation King of Gods).,Ông ấy,N/A
李野,王灵官,Li Ye claims Wang Lingguan is his master as a cover for his powers.,Sư phụ,Đồ đệ
